Are you happy?	Ты счастлива? 
I am happy to spend money on books.	Я счастлив тратить деньги на книги. 
If I were healthy, I would be happy.	Если бы я был здоров, я был бы счастлив. 
We're all happy.	Мы все счастливы. 
I am very happy in Georgia.	Я очень счастлив в Грузии. 
Those who forget everything are happy.	Те, кто всё забывают, счастливы. 
Bob was very happy.	Боб был очень счастлив. 
That child was happy to get the gift.	Этот ребёнок был счастлив получить подарок. 
He seems to be happy.	Он кажется счастливым. 
Don't worry, be happy.	Не волнуйся, будь счастлив. 
I am happy!	Я счастлива! 
John said he'd like to marry me, and I'm as happy as can be.	Джон сказал, что хочет жениться на мне, и я счастлива как никогда. 
He was not happy at all.	Он был отнюдь не счастлив. 
Compared to those around him, he looked really happy.	По сравнению с окружающими его людьми, он выглядел очень счастливым. 
Happy Thanksgiving Day.	Счастливого Дня Благодарения. 
To all appearances, they are a happy couple.	Во всех проявлениях, они счастливая пара. 
The couple led a happy life.	Пара вела счастливую жизнь. 
Then you will be happy.	Тогда ты будешь счастлив. 
This picture reminds me of our happy days in England.	Эта картина напоминает мне о счастливых днях в Англии. 
I am happy to see you here.	Я рад видеть вас здесь. 
Happy is the child who has such a mother.	Счастлив ребёнок, у которого есть такая мать. 
Everything concurred to make him happy.	Всё совпало, чтобы сделать его счастливым. 
I will be happy to attend your party.	Я буду рад присутствовать на вашей вечеринке. 
I am happy to notify you that I have fully recovered.	Я рад уведомить вас, что я полностью выздоровел. 
I feel happy because I am quit of that trouble.	Я счастлив, потому что я избежал проблем. 
He feels happy in spite of his failure.	Он счастлив, несмотря на свою неудачу. 
Happy New Year, Louise!	С Новым Годом, Луиза! 
He looks as happy as if he had won a trip to Hawaii.	Он выглядит таким счастливым, как будто он выиграл путёвку на Гавайи. 
Though he was poor, he was nonetheless happy.	Хотя и беден, он был тем не менее счастлив. 
Her story brought back our happy childhood.	Её история заставила вспомнить счастливое детство. 
Happy is a man who lives in peace and content.	Счастлив живущий в мире и довольстве. 
Happy Birthday, Miss Aiba!	С днём рождения, мисс Айба. 
She said: "I'm very happy".	Она сказала: "Я очень счастлива". 
You smiled and, just like that, I was happy.	Ты улыбнулась, и этого было достаточно, чтобы я был счастлив. 
Now this is something. What wonderful presents! Boy am I happy!	Вот это да. Какие чудесные подарки! Как я рад! 
That album reminds me of the school happy days.	Этот альбом напоминает мне о счастливых школьных днях. 
We are never as happy or as unhappy as we imagine.	Мы никогда бы бываем настолько счастливы или несчастны как мы себе представляем. 
If he were happy, he would play much better.	Если бы он был счастлив, он бы играл гораздо лучше. 
Buy a hedgehog and you'll be happy.	Купи ежа, и будешь счастлив. 
When you walk sturdily along the path on which you have started, you are, in my opinion, happy.	Когда ты твердо идешь по пути, которым начал идти, то, по моему мнению, ты счастлив. 
I wish I could figure out how to make Tom happy.	Хотел бы я узнать, как сделать Тома счастливее. 
Maybe they are happy.	Может быть, они счастливы. 
We all want to be happy.	мы все хотим быть счастливыми 
Oranges signify a happy love, while lemons - an unrequited one.	Апельсины означают счастливую любовь, тогда как лимоны — безответную. 
Tom doesn’t believe that Mary is happy.	Том не верит, что Мери счастлива. 
I am happy with my girlfriend.	Я счастлив моей подругой. 
Happy New Year!	С Новым годом! 
happy journey!	счастливого пути! 
I am very happy to do this favor for you.	Я очень рад оказать Вам эту услугу. 
I am very happy to have had the opportunity to meet you personally.	Я был счастлив возможности встретиться с Вами лично. 
I'm very happy to do this favor for you.	Я очень рад оказать Вам эту услугу. 
May I take this opportunity to wish you a very happy New Year.	Позвольте воспользоваться случаем и пожелать Вам счастливого Нового года. 
we are very happy to establish business relation with you	Мы рады сотрудничать с Вами 
We will be happy to make hotel reservations on your behalf.	Мы будем рады забронировать для Вас гостиницу. 
We would be happy if you were to publish them.	Будем рады их публикации. 
We would be happy therefore to receive a small consignment of your products on a trial basis to test the market for your products.	В связи с этим мы были бы рады получить от Вас небольшую пробную партию Ваших товаров с целью изучения рыночной конъюнктуры на Ваши продукты. 
We would be happy to receive your order.	Будем рады Вашему заказу. 
When a man is happy he does not hear the clock strike.	Счастливые часов не наблюдают. 
The news in Sarkozy's favored media outletJournal du Dimanche that the couple plan to marry touched off a flurry of fevered speculation on when the happy event might occur.	Новость, прозвучавшая в любимом информационном выпуске Саркози"Journal du Dimanche"o том, что пара собирается пожениться, вызвало шквал лихорадочных предположений о возможной дате этого счастливого события. 
But, the Irish story has not had a happy ending.	Но у ирландской истории нет счастливого конца. 
The IPCC has magnanimously declared that it would have been happy if Gore had received the Nobel Peace prize alone.	МГЭИК великодушно объявил, что он был бы счастлив, если бы только Гор получил Нобелевскую премию. 
In the 1995 election, Yeltsin would have been happy if the NDR secured 25% to 30% of the vote.	В выборах 1995 года Ельцин был бы счастлив если бы "Нашему дому - России" удалось получить 25 - 30% голосов. 
This is the British idea of Europe, and the German Constitutional Court, too, would probably be happy about such a development.	Это - британская идея Европы, и германский Конституционный Суд, вероятно, тоже был бы счастлив увидеть такое развитие. 
That way, the accumulated wealth might make them very happy in their later years.	Тем самым накопленное богатство могло бы сделать их очень счастливыми в более поздние годы. 
Even though people may admire other things, they act as if they are mostly happy enough with whatever they already have, and lack the will to consider real change.	Хотя люди могут восхищаться другими вещами, они действуют так, как будто они, по большей части, вполне довольны тем, что у них уже есть, и им не хватает воли для того, чтобы обдумать реальное изменение. 
But it will require global monetary reform of a fundamental order to right the imbalances between surplus and deficit countries, between happy savers and those who lived beyond their means, and between rich and poor.	Но для этого потребуется глобальная денежная реформа фундаментального порядка, чтобы выровнить дисбалансы между странами с активным платежным балансом и странами с пассивным платежным балансом, между счастливыми владельцами сбережений и теми, кто жил не по средствам, а также между богатыми и бедными. 
Ensuring high-quality output and local consumers' loyalty requires keeping their workforces happy and maintaining a positive public image.	Для обеспечения высокого качества продукции и лояльности местных потребителей необходимо, чтобы работники были довольны и чтобы компания имела положительный имидж в обществе. 
If the China Daily, among other publications, is to be believed, "pre-Liberation" Tibet was a living hell, and Tibetans are now happy and grateful to be citizens of the People's Republic of China.	Если верить China Daily, помимо других публикаций, то жизнь в Тибете "до освобождения" была сущим адом, и жители Тибета теперь счастливы и благодарны быть гражданами Китайской Народной Республики. 
The Chinese government claims that Tibetans are happy.	Китайское правительство утверждает, что жители Тибета счастливы. 
In World War II, German corporations were all too willing to profit from the slave labor of those in concentration camps, and Swiss banks were happy to pocket the gold of Jewish victims of Nazi terror.	Во Второй Мировой Войне все немецкие корпорации очень хотели получать прибыль от рабского труда тех, кто находился в концентрационных лагерях, а швейцарские банки были счастливы положить в карман золото еврейских жертв нацистского террора. 
Like many diplomatic compromises, the outcome left everyone a bit happy and a bit disappointed.	Как и во многих дипломатических компромиссах, результат оставил всех слегка счастливыми и слегка разочарованными. 
In the 2000's, China became the prime source of debt financing, and Americans were happy, because it enabled the US Federal Reserve to keep interest rates low.	В 2000-х годах Китай стал основным источником долгового финансирования, и американцы были счастливы, потому что он позволял американской Федеральной резервной системе сохранять низкие процентные ставки. 
Not everyone is happy with this news.	Не все были счастливы услышать такие новости. 
So perhaps decision makers, faced with the victims of previous policies and the future victims of current ones, would simply be happy that at last they could allocate resources in an optimally efficient way.	Таким образом, возможно, те, кто принимают решения, столкнувшись с жертвами предыдущей политики и будущими жертвами нынешней политики, были бы просто счастливы, наконец-то, распределить ресурсы оптимально эффективным способом. 
Perhaps the Europeans are perfectly happy to work less and enjoy more free time, both in terms of having more vacations during their working age, and spending less time in the active labor force.	Возможно, европейцы совершенно счастливы работать меньше и наслаждаться большим количеством свободного времени с точки зрения и наличия большего количества отпусков в рабочем возрасте, и более короткого жизненного рабочего срока. 
In other words, he was deemed to be healthy and happy.	Другими словами, его считали человеком здоровым и счастливым. 
The ball flashes to and fro in happy irresponsibility - between human will and chance, freedom and limitation, success and failure, hope and the loss of hope - to bounce back into the world of hope in the next moment.	Мяч летает со счастливой безответственностью вперед и назад, меж человеческой волей и случаем, свободой и ограничениями, успехом и неудачами, надеждами и потерями лишь для того, чтобы в следующее мгновение переметнуться обратно в мир надежд. 
The French are happy to hear that.	Французы рады это слышать. 
For his part, the far-right leader, Jean-Marie Le Pen, says that he is very happy with this evolution.	В свою очередь, лидер крайне правых, Жан-Мари Ле Пен, говорит, что очень доволен этой эволюцией. 
Russia may have recovered its status as a strong power, but is it a respected, or even a happy one?	Россия, возможно, вернула свой статус сильной державы, но неужели это уважаемый или даже счастливый статус? 
The banks were happy to earn a few extra pennies on supposedly risk-free assets and loaded up their balance sheets with the weaker countries' government debt.	Банки были счастливы заработать несколько дополнительных пенсов на предположительно безрисковых активах и загрузили свои балансовые отчеты правительственными долгами более слабых стран. 
What has been a sad and sorry saga could have a happy ending if Wolfowitz's successor is chosen in an open, transparent process.	История, которая сейчас выглядит как грустная и достойная сожаления, может иметь и счастливый конец, если преемник Вольфовица будет избран путем открытой, прозрачной процедуры. 
While Egypt's shaky military junta welcomed Erdoğan, many Egyptians were not happy about his hectoring them - and other Arabs - to follow Turkish policies and to regard Turkey as their Muslim leader.	Пока непрочная военная хунта Египта приветствовала Эрдогана, многие египтяне не были счастливы, когда он убеждал их - и других арабов - следовать политике Турции и рассматривать Турцию как своего мусульманского лидера. 
Oz is happy that he left physics.	Оз счастлив, что бросил физику. 
Happy transitions, to paraphrase Tolstoy, are all alike;	Счастливые переходы, перефразируя Толстого, похожи друг на друга; 
The happy transitions across much of Central Europe following the end of the Cold War were made easier by the fact that the old communist order more or less died on its feet and surrendered power peacefully.	Счастливые переходы на большей части Центральной Европы после окончания холодной войны были облегчены тем, что старый коммунистический порядок практически потерпел крах и сдал власть мирным путем. 
We should just be happy that some degree of realism is returning to the World Bank's discussion of globalization.	Нам просто следует быть счастливыми от осознания того, что в обсуждении процессов глобализации Международный банк в некоторой степени возвращается на позиции реализма. 
The Alliance would not be happy to apply Article 5 of the NATO charter, which would oblige its members to fight for Israel if it were attacked by any of its many potential enemies in an endemically dangerous region.	Едва ли Альянс будет рад применить Статью 5 Устава НАТО, обязывающую его членов воевать за Израиль, если тот подвергнется нападению со стороны любого из своих потенциальных противников в этом традиционно опасном регионе. 
Alvaro Uribe of Colombia was happy just to have a US Chief of State visit Bogotá;	Альваро Урибе, президент Колумбии, был рад только тому, чтобы американский глава государства посетил Боготу; 
Some in the Bush administration accept this argument, saying that they are happy to see Latin American democracies seeking influence where the United States cannot.	Некоторые лица в администрации Буша поддерживают эту мысль, говоря о том, что они рады видеть, что латиноамериканские демократии ищут влияние там, где это не могут сделать США. 
The richest taxpayers are, of course, happy because they received the bulk of the tax cuts.	Богатые налогоплательщики, конечно, рады - большая часть налоговых льгот досталась им. 
These are not politicians, but former idealists who are happy that their goals of Islamicizing the state are being realized.	Эти люди - не политики, а бывшие идеалисты, которые рады тому, что их мечты об исламизации государства сбываются. 
Like a happy and secure childhood, Confucian civilization bestowed upon its practitioners the self-confidence to meet the challenge of the West.	Подобно счастливому и безопасному детству, конфуцианская цивилизация придала ее представителям уверенность в себе, необходимую для того, чтобы принять вызов Запада. 
Many government behave as if the economic setback is temporary and happy pre-crisis days will return fairly soon.	Многие правительства ведут себя так, будто бы текущий экономический спад является временным и будто бы довольно скоро вернутся весёлые докризисные времена. 
But, until that happy day arrives, or at least until the two sides have reached the contours of an agreement, direct talks and photo opportunities should be considered counter-productive.	Но пока не придет этот счастливый день или, по крайней мере, пока эти две стороны не достигнут соглашения, прямые переговоры и позирование перед прессой следует считать непродуктивными. 
Somewhere in the recesses of our consciences we know that we should think about those left behind, but we are so happy rushing forward that we fail to look back at what is happening in our new democratic ghettoes.	Где-то в глубине нашей совести, мы знаем, что должны заботиться об отставших, но мы так счастливы, прорываясь вперед, что мы не успеваем посмотреть, что же происходит в наших новых демократических гетто. 
India, which is both poor and democratic, is a happy exception to this rule.	Индия, будучи одновременно бедной и демократической, является счастливым исключением из этого правила. 
Second, most non-nuclear states were happy enough to live under the security umbrella provided by the superpower nuclear duopoly.	Во-вторых, большинство государств, у которых нет ядерного оружия, были вполне рады жить под зонтиком безопасности, обеспеченным ядерной дуополией супердержав. 
Emotions run high in Iran too, which is happy to return to its familiar role as eternal victim in plots by the Great Powers.	Страсти накаляются и в Иране, который счастлив вернуться к привычному амплуа вечной жертвы происков великих держав. 
The anti-inflation hawks in Frankfurt are not at all happy with Bernanke's aggressive 50 basis point cut and the promise of more to come.	Борцы с инфляцией во Франкфурте совсем не рады агрессивному обещанию Бернэйнка снизить процентные ставки на 50 базовых пунктов, а затем и ещё ниже. 
People need to walk to be happy.	Людям нужно ходить, чтобы быть счастливыми. 
Thailand's national mythology is that it is a happy Buddhist country, a "land of smiles" bound together by compassion and harmony under the benevolent grace and blessings of the Palace and the generosity of big business.	Национальная мифология Таиланда заключается в том, что он является счастливой буддийской страной, "землей улыбок", связанной состраданием и гармонией под великодушным благоволением и благословлением "Дворца" и щедрости бизнеса. 
Marcus Buckingham, a business consultant, made the case that the data showed that women have become less happy over the past 40 years.	Маркус Бакингем, консультант по бизнесу, утверждал, что данные показывают, что женщины стали менее счастливыми за прошедшие 40 лет. 
with wages in Brussels far higher than in Manila, for example, Filipino immigrants are generally happy to do such work.	с заработной платой в Брюсселе намного выше, чем, например, в Маниле, филиппинские иммигранты обычно бывают счастливы взяться за такую работу. 
He would certainly be happy to delay the vote - and, if it is held, to dispute its legitimacy.	Он, конечно, был бы счастлив отложить голосование - и, если его все-таки проведут, оспорить его законность. 
Mubarak apparently surprised them by saying that he knew that many leading people in the country were thieves, but that he believed they had stolen enough to keep them happy.	Мубарак же поразил их, признавшись, что ему известно, что многие из ведущих фигур в стране являются ворами, но что он считает, что они уже наворовали достаточно для счастливой жизни. 
But I am happy that the French Socialists have made a powerful statement on behalf of the Treaty.	Но я рад, что французские социалисты убедительно высказались в пользу договора. 
Industrial countries should be happy that developing countries would take greater responsibility for global economic outcomes, rather than simply sulking about their lack of voice and representation.	Индустриальные страны должны быть довольны тем, что развивающиеся страны будут нести большую ответственность за результаты глобальной экономики, а не только сетовать на недостаточность своего голоса и представительности. 
Treating depression is often, if not always, effective, and without it, those who suffer from depression cannot live happy, fulfilling lives.	Лечение депрессии часто, если ни всегда, бывает эффективным, а без него те, кто страдает депрессией, не могут жить счастливой полноценной жизнью. 
Are we happy to live in a world where the rich can rely on ever more clever technical tricks, while we ignore the right of poor countries and communities to the basic requirements of survival?	Разве мы довольны тем, что живем в мире, в котором богатые могут рассчитывать на более изощренные технические приспособления, пока мы игнорируем право бедных стран и сообществ на основные требования выживания? 
Now that happy union between the Kremlin and ordinary Russians is ending.	Теперь этот счастливый союз между Кремлем и простыми россиянами подходит к концу. 
China, which launched the idea, is happy to see the discussion gaining momentum, but lacks precise ideas.	Китай, который выдвинул эту идею, рад видеть, что дискуссия набирает "обороты", но у него отсутствуют конкретные предложения. 
And Iran and Syria, for their part, have never been too happy with Prime Minister's Recep Tayyip Erdoğan's aspirations to act as a broker in Lebanon, which they consider to be their strategic backyard.	И Иран, и Сирия, по-своему, никогда не были слишком довольны стремлениями премьер-министра Раджипа Тайипа Эрдогана действовать в качестве брокера в Ливане, который они рассматривают как свой стратегический задний двор. 
It applauded the military takeover in Algeria in the early 1990's aimed at curtailing the democratic emergence of an Islamist regime, and is happy to conduct business with authoritarian regimes throughout the Arab world.	Он приветствовал военный переворот в Алжире в начале 1990-х годов, целью которого было помешать демократическому зарождению Исламистского режима, и был рад вести коммерческую деятельность с авторитарными режимами по всему арабскому миру. 
People who claim to be happy tend to live longer, commit suicide and abuse drugs and alcohol less often, get promoted more frequently by their employers, and enjoy more good friends and lasting marriages.	Люди, утверждающие, что они счастливы, живут дольше, не так часто кончают жизнь самоубийством, не злоупотребляют наркотиками и алкоголем, чаще продвигаются по карьерной лестнице работодателями, имеют больше надежных друзей и долгосрочные брачные отношения. 
Yet, no matter how enamored of the "international community" they may be, the Palestinians might not be happy with a plan that comes from a US-led international alliance.	Палестинцы, вне зависимости от того, насколько они могут быть очарованы "международным сообществом", вряд ли будут довольны планом, исходящим от альянса, возглавляемого США. 
Islamism, besides offering them an answer to the question why they do not feel happy with the way they live, gives them a sense of their self-worth and a great cause to die for.	Исламизм, помимо того, что предлагает им ответ на вопрос, почему они не чувствуют себя счастливыми, дает им ощущение собственной значимости и великое дело, за которое можно умереть. 
America isn't happy with Musharraf, either.	Америка также не довольна Мушаррафом. 
The Americans are happy that India's pesky left, reduced to a paltry 24 seats, has been all but eliminated from national government.	Американцы счастливы, что досадных левых Индии, количество которых уменьшилось до ничтожных 24 мест, едва ли не полностью устранили из национального правительства. 
We naively hold our breath waiting for a happy moment when another portion of foreign aid will arrive.	Мы, затаив дыхание, наивно ждем счастливого момента, когда прибудет следующая порция иностранной помощи. 
While the EU cannot hold out the prospect of membership, Russia is happy to offer membership in a reconstituted empire.	И если ЕС не может предложить им членство в союзе, то Россия рада принять их в обновлённую империю. 
I'd be happy to share my travel plans with, say, British Airways if I thought they would give me a good deal.	Я была бы счастлива поделиться своими планами, скажем, с British Airways, если бы была возможность получить от них выгодное предложение. 
As the warm welcome given to Hillary Clinton on her recent swing through Asia - even in communist Vietnam - appears to show, Southeast Asians are more than happy to hang on to Pax Americana for a bit longer, out of fear of China.	Как показывает теплый прием, оказанный Хиллари Клинтон во время ее последнего турне по Азии - даже в коммунистическом Вьетнаме - Юго-Восточная Азия более чем счастлива сохранить Пакс Американа немного дольше из страха перед Китаем. 
The deal was signed and almost everybody was happy:	Сделка состоялась, и все были счастливы: 
They are happy to vote, knowing that everyone else is voting, too.	Они рады принимать участие в выборах, зная, что это делают все. 
Europeans may not mind this right now (one sees more Obama t-shirts in Europe than in the US), but they might not be so happy if a George Bush III comes along.	Возможно, сейчас европейцев это не волнует (маек с изображением Обамы в Европе больше, чем в США), но они едва ли будут так же счастливы, если появится какой-нибудь Джордж Буш III. 
Third, he seems to have been a consistent behind-the-scenes supporter of the Bank, whereas many of his Bush administration colleagues would be just as happy to see it shut down and its Washington headquarters turned into private condominiums and offices.	В-третьих, он всегда оставался негласным сторонником Банка, тогда как многие его коллеги были бы рады его закрытию и превращению его Вашингтонской штаб-квартиры в частный кондоминиум и офисы. 
According to legends, this is where Noah built his ark and Perseus saved the beauty Andromeda, with whom he lived a long and happy life.	По преданиям, именно здесь Ной построил свой ковчег, а Персей спас красавицу Андромеду, с которой здесь же они прожили долгую и счастливую жизнь. 
Not everyone is happy that the Russian authorities are trying to fight the problem by "tightening the screws."	Не все довольны тем, что российские власти пытаются бороться с проблемой путем "закручивания гаек". 
They live among their extended family, are loved, cared for and are happy.	Они живут в большой семье, любимы, окружены заботой и счастливы. 
"You won't be happy here," he told me.	"Здесь ты не будешь счастлива", - сказал он мне. 
Not that everything has to be simplified or come to a happy ending, but that there is an innate sense of good and evil.	Не то чтобы все должно быть упрощено или приводить к счастливой концовке, но необходимо, чтобы было врожденное понимание добра и зла. 
In these villages, free medical care is truly a cause for celebration, and Bwelle - with his big smile and boundless energy - is more than happy to join in the fun.	Бесплатное медицинское обслуживание в этих деревнях действительно является поводом для праздника, и Бвелле с его широкой улыбкой и безграничной энергией более чем счастлив присоединиться к веселью. 
"I am so happy when I am doing this work," Bwelle said.	"Я так счастлив, когда делаю эту работу, - сказал Бвелле. 
Earlier research had revealed that happy dogs wag their tails more to the right (from the dog's point of view), while nervous dogs have a left-dominated swish.	Более ранние исследования показали, что довольные собаки виляют хвостом в правую сторону (с точки зрения собаки), в то время как встревоженные собаки помахивают хвостом преимущественно в левую сторону. 
Last year a team from the University of Lincoln found that dogs turn their heads to the left when looking at an aggressive dog and to the right when looking at a happy dog.	В прошлом году группа ученых из университета Линкольна обнаружила, что собаки поворачивают головы влево, если смотрят на агрессивную собаку, и вправо, если смотрят на довольную собаку. 
We are very happy that our Turkish colleagues and partners at all levels are interested in developing and deepening Belarusian-Turkish relations in all spheres and domains.	Мы очень рады тому, что наши турецкие коллеги и партнеры на всех уровнях заинтересованы в развитии и углублении белорусско-турецких отношений во всех сферах и областях. 
For that reason I am especially happy that my store opened in Moscow.	Поэтому я особенно рад, что у меня открылся магазин в Москве. 
'They are a big happy family now and Alyona and Makhar are both great kids,' said a close friend.	"Они большая счастливая семья теперь, и Алёна и Махар - оба прекрасные дети", говорит близкий друг. 
Of course, I am very happy that I will once again play for Borussia”, Bild cites Kagawa as saying.	Конечно, я очень рад, что вновь буду играть за "Боруссию", - приводит Bild слова Кагавы. 
Of course I am happy that I managed to win at Roland Garros.	Конечно, я рада, что удалось победить на "Ролан Гаррос". 
I'm very happy.	Я очень счастлив. 
I'm so happy for you.	"Я так рад за тебя. 
He was very happy.	Он был очень счастлив. 
Mihaly Czikszentmihalyi asks, "What makes a life worth living?" Noting that money cannot make us happy, he looks to those who find pleasure and lasting satisfaction in activities that bring about a state of "flow."	Mиxaй Чиксентмихайи спрашивает: "Что делает жизнь достойной существования?" Отмечая, что деньги не могут сделать нас счастливыми, он обращает взгляд к тем, кто находит удовольствие и продолжительное удовлетворение в деятельности, которая вызывается состоянием "потока". 
And I realized how few of the grown-ups that I knew were able to withstand the tragedies that the war visited on them - how few of them could even resemble a normal, contented, satisfied, happy life once their job, their home, their security was destroyed by the war.	И я понял, как мало знакомых мне взрослых людей могли выдержать те трагедии, которые обрушились на них в годы войны. Лишь немногие из них могли создать хотя бы подобие той нормальной, довольной, стабильной и счастливой жизни, которая была у них до того как их работа, их дома и их благополучие были разрушены войной. 
But this, for instance, shows that about 30 percent of the people surveyed in the United States since 1956 say that their life is very happy.	Этот график, например, говорит нам о том, что около 30% людей, опрошенных в США с 1956 года, говорят, что у них очень счастливая жизнь. 
So my research has been focused more on - after finding out these things that actually corresponded to my own experience, I tried to understand: where - in everyday life, in our normal experience - do we feel really happy?	Таким образом, в своей дальнейшей работе, после того, как я нашёл подтверждение тому, что уже знал из собственного опыта, я пытался понять, когда, при каких условиях в нашей повседневной жизни мы чувствуем себя по-настоящему счастливыми. 
I'm happy.	Я счастлива. 
Greenpeace was thrilled. The whales were happy. That's a quote.	В Гринписе все взволнованы, Киты-счастливы. Это цитата. 
And actually, Redditors in the Internet community were happy to participate, but they weren't whale lovers.	И даже Reddit-оры в Интернет общности были рады учавтсвовать, хотя и не были фанатами китов. 
But is he happy?	Но счастлив ли он? 
I was really happy.	Я был очень счастлив. 
But there is a happy ending to this story.	Но у этой истории есть счастливый конец. 
And kids starting to make their own books, and a happy kid with the first book that he's ever owned.	Дети начали делать свои книги, и ребёнок счастлив своей первой книге.
Some of these mushrooms are very happy mushrooms.	Некоторые из тех грибов - очень счастливые грибы. 
So we had been there for 20 minutes; we were happy to exit the store.	Итак, мы находились там около 20 минут и были счастливы покинуть магазин. 
I'm not happy with that sentiment at all.	Я совсем рад этому положению. 
And he was so full, he was so happy and so fat eating this seal, that, as I approached him - about 20 feet away - to get this picture, his only defense was to keep eating more seal.	Он был таким толстым, сытым и довольным! Когда я подошёл к нему - где-то на 6 метров, - чтобы сделать это фото, он спокойно продолжал его есть. 
And so I'm just so happy that the dive is over.	Здесь я очень счастлив, что погружение закончено. 
And the one who is happy, even for a slapstick joke, accepts himself and also the scheme of things in which one finds oneself.	И тот, кто счастлив, даже несмотря на насмешки, принимает самого себя как он есть и способен найти свое место в мире. 
That experience confirms that, in spite of all your limitations - all your wants, desires, unfulfilled, and the credit cards and layoffs and, finally, baldness - you can be happy.	Такой опыт подтверждает что, несмотря на все ваши ограничения, ваши желания и устремления, кредиты, увольнения, и даже облысение, вы все же можете быть счастливым. 
But the extension of the logic is that you don't need to fulfill your desire to be happy.	Логически все это подтверждает, что вы не нуждаетесь в исполнении ваших устремлений, чтобы быть счастливым. 
